Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh
Austria,AUT,1990,3.6470454,0,0,0,93.17177,0,61.934906,47.640278,127.430046
Austria,AUT,1991,3.913106,0,0,0,92.9778,0,65.66419,49.971664,136.87337
Austria,AUT,1992,4.2429633,0,0,0,103.04635,0,64.48223,38.881744,134.13881
Austria,AUT,1993,4.344944,0,0.002957,0,108.53793,0,67.812454,34.959057,136.78593
Austria,AUT,1994,3.8643389,0,0.002957,0,105.5867,0,69.75149,35.454445,134.74817
Austria,AUT,1995,5.928629,0,0.002957,0.002957,109.607376,0,76.15716,40.338642,135.62375
Austria,AUT,1996,5.0738297,0,0.002957,0.014784944,101.176674,0,81.060875,40.50991,147.85747
Austria,AUT,1997,5.463104,0,0.005913972,0.059139725,106.762924,0,78.12572,42.967976,147.18379
Austria,AUT,1998,5.8825207,0,0.005913972,0.13306445,109.89158,0,80.20729,37.829166,155.29774
Austria,AUT,1999,5.0976686,0,0.005913972,0.1508064,120.34686,0,81.92763,37.68498,147.58986
Austria,AUT,2000,4.8785796,0,0.008870971,0.19811833,123.70757,0,78.205154,42.470078,145.70236
Austria,AUT,2001,5.3239965,0,0.014688944,0.50529945,118.849625,0,82.881966,43.878994,155.1389
Austria,AUT,2002,4.852394,0,0.0262695,0.59252334,117.41597,0,81.48537,44.579712,157.87592
Austria,AUT,2003,5.463574,0,0.043501943,1.0614452,96.3276,0,89.629715,47.54769,167.63007
Austria,AUT,2004,6.5742254,0,0.051869724,2.6626463,105.936104,0,90.49233,46.576305,170.16396
Austria,AUT,2005,7.7884116,0.72200364,0.060184166,3.811996,106.21872,0,95.27706,46.730534,170.74123
Austria,AUT,2006,10.388464,2.8928862,0.06369972,4.987406,101.45599,0,89.532005,46.67483,169.86945
Austria,AUT,2007,13.020247,3.4435277,0.068536945,5.760387,104.77595,0,84.708954,45.044926,163.24309
Austria,AUT,2008,13.336185,3.8655322,0.08463861,5.65175,107.70809,0,90.68555,44.52499,158.70348
Austria,AUT,2009,13.708954,4.913528,0.13660361,5.457072,114.21159,0,88.31914,33.460773,149.56474
